t fidelity1 fidelity2 fidelity3
8.050331174823844194e+00 9.520119329530997154e-01 9.520119329484549864e-01 9.520119329473598624e-01
8.148505945248526672e+00 9.003442076558584306e-01 9.003442076489444057e-01 9.003442076477178313e-01
8.246680715673207374e+00 8.322467704476121941e-01 8.322467704386807830e-01 8.322467704373466280e-01
8.344855486097888075e+00 7.507950029835099848e-01 7.507950029729343333e-01 7.507950029714899332e-01
8.443030256522568777e+00 6.596289822554980420e-01 6.596289822436787187e-01 6.596289822422244375e-01
8.541205026947249479e+00 5.627736414862809511e-01 5.627736414737097848e-01 5.627736414723096825e-01
8.639379797371930181e+00 4.644427197796346385e-01 4.644427197668850593e-01 4.644427197655333628e-01
8.737554567796612659e+00 3.688373168431457461e-01 3.688373168307553240e-01 3.688373168295370763e-01
8.835729338221293361e+00 2.799497551062701262e-01 2.799497550947591673e-01 2.799497550937580237e-01
8.933904108645974063e+00 2.013834633039700006e-01 2.013834632938799329e-01 2.013834632930814050e-01
9.032078879070654764e+00 1.361982047791686912e-01 1.361982047709315857e-01 1.361982047703922671e-01
9.130253649495335466e+00 8.678773590781237168e-02 8.678773590175725694e-02 8.678773590156035889e-02
9.228428419920017944e+00 5.479532056712430044e-02 5.479532056353558084e-02 5.479532056366118176e-02
9.326603190344698646e+00 4.107012592569261183e-02 4.107012592471855766e-02 4.107012592518285987e-02
9.424777960769379348e+00 4.566434518379103996e-02 4.566434518542571847e-02 4.566434518630095585e-02
9.522952731194060050e+00 6.786884304098111942e-02 6.786884304515358735e-02 6.786884304641871424e-02
9.621127501618740752e+00 1.062832761367899365e-01 1.062832761433150780e-01 1.062832761449502700e-01
9.719302272043423230e+00 1.589141836772700045e-01 1.589141836858184442e-01 1.589141836878785741e-01
9.817477042468103932e+00 2.232934795916151349e-01 2.232934796018120616e-01 2.232934796042815306e-01
9.915651812892784633e+00 2.966097308140338562e-01 2.966097308254546094e-01 2.966097308282895639e-01
1.001382658331746534e+01 3.758439406060700705e-01 3.758439406182000342e-01 3.758439406214352796e-01
1.011200135374214604e+01 4.579019694370565219e-01 4.579019694493795534e-01 4.579019694530076512e-01
1.021017612416682852e+01 5.397375385032284756e-01 5.397375385152540783e-01 5.397375385192169084e-01
1.030835089459150922e+01 6.184607244096376188e-01 6.184607244208524257e-01 6.184607244251587588e-01
1.040652566501618992e+01 6.914280383185971157e-01 6.914280383285273945e-01 6.914280383331724567e-01
1.050470043544087062e+01 7.563127316020672453e-01 7.563127316103213094e-01 7.563127316152360446e-01
1.060287520586555132e+01 8.111554498762054699e-01 8.111554498824193882e-01 8.111554498875870323e-01
1.070104997629023202e+01 8.543960145910973747e-01 8.543960145949717200e-01 8.543960146003731770e-01
1.079922474671491450e+01 8.848889309656563507e-01 8.848889309670007197e-01 8.848889309725533892e-01
1.089739951713959520e+01 9.019061148551156260e-01 9.019061148537921291e-01 9.019061148594497146e-01
1.099557428756427591e+01 9.051296211791971524e-01 9.051296211751392873e-01 9.051296211808601555e-01
1.109374905798895661e+01 8.946374767183760124e-01 8.946374767116307414e-01 8.946374767173145282e-01
1.119192382841363731e+01 8.708857982209071702e-01 8.708857982115786323e-01 8.708857982171511747e-01
1.129009859883831979e+01 8.346885802511829766e-01 8.346885802394522491e-01 8.346885802448438252e-01
1.138827336926300049e+01 7.871957072824981028e-01 7.871957072686449619e-01 7.871957072737387762e-01
1.148644813968768119e+01 7.298697258962701939e-01 7.298697258806292609e-01 7.298697258853402703e-01
1.158462291011236189e+01 6.644601880740205191e-01 6.644601880569867003e-01 6.644601880612472922e-01
1.168279768053704260e+01 5.929733874926740311e-01 5.929733874747331601e-01 5.929733874784264280e-01
1.178097245096172330e+01 5.176361261356305921e-01 5.176361261172963690e-01 5.176361261203653585e-01
1.187914722138640577e+01 4.408516142957475958e-01 4.408516142775635860e-01 4.408516142799811521e-01
