gt pop_n1 pop_n2 pop_n3 pop_n4
4.398229715025710473e-01 1.812916626624754002e-01 5.936869378654794360e-01 9.381548190798653097e-01 9.648853742097394104e-01
4.555309347705200351e-01 1.935502617799234326e-01 6.243422810604558615e-01 9.588781247580441258e-01 9.381486818062076960e-01
4.712388980384689119e-01 2.061110931296124826e-01 6.545067625872659223e-01 9.755291879192767857e-01 9.045026496254028325e-01
4.869468613064179552e-01 2.189627073964479920e-01 6.840610831763966893e-01 9.879590528208371802e-01 8.644779124950375815e-01
5.026548245743669430e-01 2.320916184691797779e-01 7.128871493332814557e-01 9.960579429414282426e-01 8.187059879271028073e-01
5.183627878423158197e-01 2.454845743939922387e-01 7.408749276214778856e-01 9.997534329437607337e-01 7.679061466355868726e-01
5.340707511102648075e-01 2.591293895716416662e-01 7.679112641309707721e-01 9.990130489858741747e-01 7.128823605244323236e-01
5.497787143782137953e-01 2.730112360870058374e-01 7.938919783276757736e-01 9.938432865929293092e-01 6.545016859542014398e-01
5.654866776461627831e-01 2.871169358799741667e-01 8.187108200509721767e-01 9.842898132683138845e-01 5.936845126320848820e-01
5.811946409141116598e-01 3.014327705611145602e-01 8.422726751128275513e-01 9.704375274107001070e-01 5.313929914353928696e-01
5.969026041820606476e-01 3.159447994654493441e-01 8.644836916523354065e-01 9.524099264785731433e-01 4.686034235608806942e-01
6.126105674500096354e-01 3.306380520536468803e-01 8.852557038141679602e-01 9.303661886188212549e-01 4.063047249970640484e-01
6.283185307179586232e-01 3.454991608372330325e-01 9.045083277921148746e-01 9.045027852064340124e-01 3.454883752896167892e-01
6.440264939859076110e-01 3.605129557037670129e-01 9.221644929676693359e-01 8.750482289056779051e-01 2.871067233317892153e-01
6.597344572538564877e-01 3.756637748503169894e-01 9.381539967523218060e-01 8.422653257724551645e-01 2.320809941625668338e-01
6.754424205218054755e-01 3.909378730037645910e-01 9.524145536375586696e-01 8.064465770699900116e-01 1.812839390762089886e-01
6.911503837897544633e-01 4.063191764701477027e-01 9.648889541669070091e-01 7.679066083109470364e-01 1.355115867983859301e-01
7.068583470577034511e-01 4.217926549703949757e-01 9.755291003212362977e-01 7.269903515717139886e-01 9.548866930461287483e-02
7.225663103256524389e-01 4.373432553657765065e-01 9.842922665848117258e-01 6.840577319209973917e-01 6.184427144023027512e-02
7.382742735936013156e-01 4.529561927880665362e-01 9.911443110204403162e-01 6.394918775636920794e-01 3.510947364308276281e-02
7.539822368615504145e-01 4.686151094054773480e-01 9.960579155408515462e-01 5.936899244674581633e-01 1.570661780733901419e-02
7.696902001294992912e-01 4.843054216717600502e-01 9.990136599301793208e-01 5.470517465193918127e-01 3.941615981161292713e-03
7.853981633974482790e-01 5.000116819227641285e-01 9.999999995955725085e-01 4.999990627716830449e-01 1.432835568586316591e-09
8.011061266653972668e-01 5.157172516820663910e-01 9.990130555336557139e-01 4.529453533322593817e-01 3.943732313716761910e-03
8.168140899333461435e-01 5.314075972118690316e-01 9.960567232524439873e-01 4.063064695958433226e-01 1.571110474534954254e-02
8.325220532012952424e-01 5.470667835716573890e-01 9.911425298910201409e-01 3.605016039590385191e-01 3.511598508413387582e-02
8.482300164692441191e-01 5.626792874845312209e-01 9.842898986463411992e-01 3.159361582329444085e-01 6.185310327457281543e-02
8.639379797371931069e-01 5.782297342474007618e-01 9.755258977935417075e-01 2.730023487447306163e-01 9.549950374957337507e-02
8.796459430051420947e-01 5.937035621389444850e-01 9.648850962712104407e-01 2.320859135830315723e-01 1.355245790119675720e-01
8.953539062730909714e-01 6.090846377467205031e-01 9.524097224454196597e-01 1.935464671981431128e-01 1.812969055655057060e-01
9.110618695410400703e-01 6.243581242329779846e-01 9.381485055975213871e-01 1.577253928927164484e-01 2.320969192054154195e-01
9.267698328089889470e-01 6.395094131335672394e-01 9.221585654328564585e-01 1.249429378334386276e-01 2.871209949775265224e-01
9.424777960769378238e-01 6.545225075332602449e-01 9.045029024294238829e-01 9.549019873752263854e-02 3.455018839241112416e-01
9.581857593448869226e-01 6.693831093620903339e-01 8.852501725112305042e-01 6.962711682275896097e-02 4.063190749659598144e-01
9.738937226128359104e-01 6.840765342353616330e-01 8.644772455096312314e-01 4.758434759736666908e-02 4.686106962353523420e-01
9.896016858807848982e-01 6.985881991926292667e-01 8.422656515811919320e-01 2.955786203989139993e-02 5.314003771770389184e-01
1.005309649148733886e+00 7.129036130633729096e-01 8.187032287018900512e-01 1.570711442823624626e-02 5.936988769612546735e-01
1.021017612416682763e+00 7.270093648913966700e-01 7.938828928034996624e-01 6.154861233360238437e-03 6.545151550376233640e-01
1.036725575684631639e+00 7.408910737306371175e-01 7.679048181638925552e-01 9.862223071054731366e-04 7.128967084560251521e-01
1.052433538952580738e+00 7.545348706535017769e-01 7.408696152121291290e-01 2.469334059702095593e-04 7.679221364926698268e-01
1.068141502220529615e+00 7.679278794331191316e-01 7.128830026655060825e-01 3.943519197073206209e-03 8.187190441062270896e-01
1.083849465488478492e+00 7.810561995249644118e-01 6.840549358367047361e-01 1.204346880020956689e-02 8.644910506767971015e-01
1.099557428756427591e+00 7.939069912118824623e-01 6.545029727010669429e-01 2.447488696272076547e-02 9.045137241181121501e-01
1.115265392024376467e+00 8.064677483612071596e-01 6.243378795293877959e-01 4.112668863707140410e-02 9.381574153373847258e-01
1.130973355292325566e+00 8.187260707679401284e-01 5.936846799032906574e-01 6.185225814212562401e-02 9.648920741370851095e-01
1.146681318560274443e+00 8.306696326331641789e-01 5.626624662625943074e-01 8.646630372074033677e-02 9.842944924856330546e-01
1.162389281828223320e+00 8.422870809482119192e-01 5.313911207417619798e-01 1.147511449523743871e-01 9.960589252377755054e-01
1.178097245096172418e+00 8.535668944885592690e-01 4.999951875858715811e-01 1.464548422506728731e-01 9.999999966540988883e-01
1.193805208364121295e+00 8.644975419396774274e-01 4.686004285497681887e-01 1.812964781617346643e-01 9.960556711055033041e-01
1.209513171632070394e+00 8.750686740315052337e-01 4.373278234233893835e-01 2.189665458559464373e-01 9.842877167733210531e-01
