t fidelity1 fidelity2
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.817477042468103487e-02 1.058451389707466134e-02 1.444641444316892981e-02
1.963495408493620697e-01 4.185265444178634664e-02 5.685598767066806641e-02
2.945243112740431046e-01 9.237334432768545822e-02 1.245046304251842678e-01
3.926990816987241395e-01 1.598436950030156789e-01 2.130638008956428076e-01
4.908738521234051744e-01 2.412071711255390494e-01 3.169014842825622069e-01
5.890486225480862092e-01 3.328090049220021052e-01 4.294720074939811782e-01
6.872233929727672441e-01 4.305796907194764933e-01 5.437660690177844591e-01
7.853981633974482790e-01 5.302359023748676181e-01 6.527881167186680988e-01
8.835729338221293139e-01 6.274874115754216497e-01 7.500264654973838319e-01
9.817477042468103487e-01 7.182385773081368940e-01 8.298824263125267331e-01
1.079922474671491273e+00 7.987737028062400491e-01 8.880281260685720657e-01
1.178097245096172418e+00 8.659169384788694135e-01 9.216683463911919949e-01
1.276272015520853564e+00 9.171593241395679108e-01 9.296891398798456940e-01
1.374446785945534488e+00 9.507478532526720816e-01 9.126846048083560037e-01
1.472621556370215412e+00 9.657339275481297003e-01 8.728623399789450232e-01
1.570796326794896558e+00 9.619810686943602862e-01 8.138370579959227635e-01
1.668971097219577704e+00 9.401340909921468425e-01 7.403299312165378954e-01
1.767145867644258628e+00 9.015539645368667587e-01 6.577978815942765456e-01
1.865320638068939552e+00 8.482241949299101913e-01 5.720217274093140070e-01
1.963495408493620697e+00 7.826356371359357578e-01 4.886845463943274015e-01
2.061670178918301843e+00 7.076572152457869525e-01 4.129716628189536998e-01
2.159844949342982545e+00 6.264000478149452933e-01 3.492213561954632950e-01
2.258019719767663691e+00 5.420820302379991684e-01 3.006509383717707040e-01
2.356194490192344837e+00 4.578990831874887868e-01 2.691766270963245056e-01
2.454369260617025983e+00 3.769081437730542605e-01 2.553381559155726843e-01
2.552544031041707129e+00 3.019256699336524963e-01 2.583308862445713450e-01
2.650718801466387831e+00 2.354440661082757846e-01 2.761399521568521642e-01
2.748893571891068976e+00 1.795671283817802388e-01 3.057632906125812289e-01
2.847068342315750122e+00 1.359644423279696146e-01 3.435038573710379461e-01
2.945243112740430824e+00 1.058437162377145746e-01 3.853063782356669909e-01
3.043417883165111970e+00 8.993933967715038447e-02 4.271109884253864175e-01
3.141592653589793116e+00 8.851503854642917002e-02 4.651952730045115780e-01
3.239767424014474262e+00 1.013783434286297802e-01 4.964775798762136039e-01
3.337942194439155408e+00 1.279046661655294514e-01 5.187579117955906094e-01
3.436116964863836110e+00 1.670690411138003040e-01 5.308779394681785169e-01
3.534291735288517255e+00 2.174839719312178787e-01 5.327883053088540155e-01
3.632466505713198401e+00 2.774422665350285699e-01 5.255188950744946741e-01
3.730641276137879103e+00 3.449641777475562776e-01 5.110555650058424826e-01
3.828816046562560249e+00 4.178485374547462605e-01 4.921343247281668165e-01
3.926990816987241395e+00 4.937278313727554990e-01 4.719706114845706457e-01
4.025165587411922097e+00 5.701272776608307113e-01 4.539465342327034247e-01
4.123340357836603687e+00 6.445279298034489734e-01 4.412824051815498194e-01
4.221515128261284389e+00 7.144336233137197345e-01 4.367202355154005122e-01
4.319689898685965090e+00 7.774412437292034239e-01 4.422460334021427464e-01
4.417864669110646680e+00 8.313133409691653153e-01 4.588747569072493260e-01
4.516039439535327382e+00 8.740515945427411726e-01 4.865168603340079279e-01
4.614214209960008972e+00 9.039690953113247440e-01 5.239389005897081564e-01
4.712388980384689674e+00 9.197589064886269039e-01 5.688231371499379296e-01
4.810563750809370376e+00 9.205559533106373316e-01 6.179230506461637074e-01
4.908738521234051966e+00 9.059890174508917760e-01 6.673038507742646841e-01
5.006913291658732668e+00 8.762195214078710714e-01 7.126499689612256772e-01
5.105088062083414258e+00 8.319639116577043358e-01 7.496158054639717738e-01
5.203262832508094959e+00 7.744968059428420926e-01 7.741920943076061601e-01
5.301437602932775661e+00 7.056326630537301803e-01 7.830584935929681967e-01
5.399612373357457251e+00 6.276845499885956858e-01 7.738935669684984253e-01
5.497787143782137953e+00 5.433995921469807477e-01 7.456161761805315535e-01
5.595961914206818655e+00 4.558718522811878171e-01 6.985372539141465609e-01
5.694136684631500245e+00 3.684346344627864034e-01 6.344076019792562748e-01
5.792311455056180947e+00 2.845354803059365612e-01 5.563552538494463962e-01
5.890486225480861648e+00 2.075983385184302366e-01 4.687144440638205678e-01
5.988660995905543238e+00 1.408784646662311624e-01 3.767566793405663916e-01
6.086835766330223940e+00 8.731646663591047242e-02 2.863421468940953174e-01
6.185010536754905530e+00 4.939848035134201953e-02 2.035161164423895941e-01
6.283185307179586232e+00 2.902967968472265625e-02 1.340795865158812550e-01
6.381360077604266934e+00 2.742815114579132130e-02 8.316582643556280630e-02
6.479534848028948524e+00 4.504557614839961588e-02 5.485447557349283632e-02
6.577709618453629226e+00 8.152016438672506082e-02 5.185246851349583491e-02
6.675884388878310816e+00 1.356659005365912218e-01 7.526643059767487709e-02
6.774059159302991517e+00 2.055004593041245275e-01 1.244846759566066857e-01
6.872233929727672219e+00 2.883121921033971469e-01 1.971790259314815386e-01
6.970408700152353809e+00 3.807644953779901753e-01 2.894279418302633244e-01
7.068583470577034511e+00 4.790337552212238781e-01 3.959535841668361256e-01
7.166758241001715213e+00 5.789750544609568728e-01 5.104570331507553016e-01
7.264933011426396803e+00 6.763080571432731336e-01 6.260286549862477123e-01
7.363107781851077505e+00 7.668140743293548889e-01 7.356050126325709426e-01
7.461282552275758206e+00 8.465343708530597144e-01 8.324402103873739245e-01
7.559457322700439796e+00 9.119593768516948140e-01 9.105583869862022839e-01
7.657632093125120498e+00 9.601986700720798185e-01 9.651553177058717070e-01
7.755806863549802088e+00 9.891224073247657511e-01 9.929206607148717278e-01
7.853981633974482790e+00 9.974662778041657463e-01 9.922580254191190052e-01
7.952156404399163492e+00 9.848939586411368241e-01 9.633873395787098115e-01
8.050331174823844194e+00 9.520133677932141048e-01 9.083224164854341032e-01
8.148505945248526672e+00 9.003455933592454663e-01 8.307255611630017800e-01
8.246680715673207374e+00 8.322480707617287976e-01 7.356498558673923993e-01
8.344855486097888075e+00 7.507962068709896908e-01 6.291877900809678126e-01
8.443030256522568777e+00 6.596300399342810428e-01 5.180515641648161251e-01
8.541205026947249479e+00 5.627745157254997466e-01 4.091152120592961849e-01
8.639379797371930181e+00 4.644434182217026530e-01 3.089513034121471602e-01
8.737554567796612659e+00 3.688378176213619741e-01 2.233952054494835471e-01
8.835729338221293361e+00 2.799500339084879941e-01 1.571676908614853541e-01
8.933904108645974063e+00 2.013835537187496916e-01 1.135822287334972286e-01
9.032078879070654764e+00 1.361981255370443844e-01 9.435691757913948485e-02
9.130253649495335466e+00 8.678748433082961178e-02 9.954318452860794197e-02
9.228428419920017944e+00 5.479495354436181992e-02 1.275746660984119207e-01
9.326603190344698646e+00 4.106970264934175358e-02 1.754307563630091715e-01
9.424777960769379348e+00 4.566388286065493907e-02 2.389008311772078397e-01
9.522952731194060050e+00 6.786840646606599747e-02 3.129277755548204309e-01
9.621127501618740752e+00 1.062829495573863747e-01 3.920037186955127040e-01
9.719302272043423230e+00 1.589139917203407915e-01 4.705872564143531167e-01
9.817477042468103932e+00 2.232934704262188597e-01 5.435101928485887024e-01
9.915651812892784633e+00 2.966099878869285500e-01 6.063430576358899149e-01
1.001382658331746534e+01 3.758444791964642429e-01 6.556922534713589545e-01
1.011200135374214604e+01 4.579027974763034692e-01 6.894073768979075423e-01
1.021017612416682852e+01 5.397387130824948809e-01 7.066845808582664645e-01
1.030835089459150922e+01 6.184622404676805019e-01 7.080602279061192217e-01
1.040652566501618992e+01 6.914298525216501234e-01 6.952978495272156279e-01
1.050470043544087062e+01 7.563148602074807325e-01 6.711798793851266876e-01
1.060287520586555132e+01 8.111578694245326071e-01 6.392230910507776809e-01
1.070104997629023202e+01 8.543986381340616942e-01 6.033425486520138659e-01
1.079922474671491450e+01 8.848917346394882255e-01 5.674927057782312989e-01
1.089739951713959520e+01 9.019090705477808001e-01 5.353157653619986522e-01
1.099557428756427591e+01 9.051326211400643196e-01 5.098264347404953822e-01
1.109374905798895661e+01 8.946404683505236877e-01 4.931588699327957293e-01
1.119192382841363731e+01 8.708887656592123605e-01 4.863961879623002749e-01
1.129009859883831979e+01 8.346914227283013243e-01 4.894958903582494747e-01
1.138827336926300049e+01 7.871983572819003516e-01 5.013164689100515492e-01
1.148644813968768119e+01 7.298721906362573009e-01 5.197420210405691021e-01
1.158462291011236189e+01 6.644623974619748852e-01 5.418935768032213662e-01
1.168279768053704260e+01 5.929752708826219187e-01 5.644086908890206811e-01
1.178097245096172330e+01 5.176377159091521962e-01 5.837652543730039723e-01
1.187914722138640577e+01 4.408528882032064500e-01 5.966218744746032421e-01
1.197732199181108648e+01 3.651460630418932873e-01 6.001458333053973915e-01
1.207549676223576718e+01 2.930998233097829031e-01 5.923006599173838982e-01
1.217367153266044788e+01 2.272786312220476668e-01 5.720686352799901897e-01
1.227184630308512858e+01 1.701440025791051691e-01 5.395888190886546365e-01
1.237002107350981106e+01 1.239627208594796526e-01 4.961980081629993600e-01
1.246819584393449176e+01 9.071168872470292133e-02 4.443698586211345392e-01
1.256637061435917246e+01 7.198399675100945749e-02 3.875556055494641661e-01
1.266454538478385317e+01 6.890148774055145087e-02 3.299377493376594583e-01
1.276272015520853387e+01 8.203942777543538067e-02 2.761151295718798915e-01
1.286089492563321635e+01 1.113688110269308723e-01 2.307434321471199534e-01
1.295906969605789705e+01 1.562213079098729862e-01 1.981589442925066613e-01
1.305724446648257775e+01 2.152809350137620259e-01 1.820150016044595476e-01
1.315541923690725845e+01 2.866052335275146579e-01 1.849599408719932725e-01
1.325359400733193915e+01 3.676771724906291450e-01 2.083825326658217125e-01
1.335176877775662163e+01 4.554872476730394415e-01 2.522460328314778399e-01
1.344994354818130233e+01 5.466434429194360067e-01 3.150255232705970743e-01
1.354811831860598303e+01 6.375049792696458884e-01 3.937555896963266799e-01
1.364629308903066374e+01 7.243342143164975822e-01 4.841871706732544522e-01
1.374446785945534444e+01 8.034597737451054655e-01 5.810442138448287386e-01
1.384264262988002514e+01 8.714430833749533534e-01 6.783631964677405701e-01
1.394081740030470762e+01 9.252399839849436702e-01 7.698921689296894799e-01
1.403899217072938832e+01 9.623490866648537478e-01 8.495212388703187179e-01
1.413716694115406902e+01 9.809389695418965216e-01 9.117136892825244976e-01
1.423534171157874972e+01 9.799472065168634005e-01 9.519064323909089964e-01
1.433351648200343043e+01 9.591455091865437321e-01 9.668502982146296443e-01
1.443169125242811290e+01 9.191668868293544348e-01 9.548646333814634346e-01
1.452986602285279361e+01 8.614926010470922435e-01 9.159865737143418896e-01
1.462804079327747431e+01 7.883987133954617477e-01 8.520027432829532232e-01
1.472621556370215501e+01 7.028640902782902211e-01 7.663594987054137553e-01
1.482439033412683571e+01 6.084437310359875895e-01 6.639565782758277690e-01
1.492256510455151641e+01 5.091131165271831627e-01 5.508374935114114246e-01
