t fidelity9 fidelity25
4.241150082346220596e-01 9.135979930534240401e-01 7.269494496259507610e-01
4.319689898685965534e-01 9.263775841538965938e-01 6.912916164468780877e-01
4.398229715025710473e-01 9.382098260827836933e-01 6.544540915226373379e-01
4.476769531365454857e-01 9.490685469097251969e-01 6.166629252901408842e-01
4.555309347705200351e-01 9.589298637292439365e-01 5.781508838238886838e-01
4.633849164044944735e-01 9.677722750619528469e-01 5.391556646420381238e-01
4.712388980384689119e-01 9.755763586180014046e-01 4.999179771906557268e-01
4.790928796724434613e-01 9.823241101056388036e-01 4.606799282437628040e-01
4.869468613064179552e-01 9.880005461406060618e-01 4.216848575181730285e-01
4.948008429403924491e-01 9.925932032554385387e-01 3.831755802923884069e-01
5.026548245743669430e-01 9.960921559188790075e-01 3.453904457580981857e-01
5.105088062083413813e-01 9.984900822007860555e-01 3.085601888691086869e-01
5.183627878423158197e-01 9.997816665713816775e-01 2.729110333045676740e-01
5.262167694762903691e-01 9.999634780780586318e-01 2.386611866883044386e-01
5.340707511102648075e-01 9.990352135601267003e-01 2.060211956666254673e-01
5.419247327442392459e-01 9.969991572538322577e-01 1.751940891255914234e-01
5.497787143782137953e-01 9.938598462184445870e-01 1.463701785717925752e-01
5.576326960121882337e-01 9.896239645496827109e-01 1.197272369805179731e-01
5.654866776461627831e-01 9.843009430615846655e-01 9.542974879673056521e-02
5.733406592801372215e-01 9.779027166317110220e-01 7.362818359600296902e-02
5.811946409141116598e-01 9.704434916529196542e-01 5.445645729977913185e-02
5.890486225480862092e-01 9.619396781290767695e-01 3.803114129855072328e-02
5.969026041820606476e-01 9.524102182121508831e-01 2.445275744487516306e-02
6.047565858160351970e-01 9.418764299799425865e-01 1.380780695676896500e-02
6.126105674500096354e-01 9.303616843641727696e-01 6.161669963915689281e-03
6.204645490839840738e-01 9.178913287454742997e-01 1.559976101814124867e-03
6.283185307179586232e-01 9.044930229909966535e-01 2.995395255346675750e-05
6.361725123519330616e-01 8.901965324841634164e-01 1.582854764724350109e-03
6.440264939859076110e-01 8.750335876531938339e-01 6.207753764602426394e-03
6.518804756198820494e-01 8.590378376677311190e-01 1.387675222571729816e-02
6.597344572538564877e-01 8.422449087792551747e-01 2.454288008603614651e-02
6.675884388878310371e-01 8.246923068572351578e-01 3.814026548759985591e-02
6.754424205218054755e-01 8.064189860236743446e-01 5.458552812752143213e-02
6.832964021557800249e-01 7.874653155533690718e-01 7.377688042527791312e-02
6.911503837897544633e-01 7.678733426772875736e-01 9.559620972141602557e-02
6.990043654237289017e-01 7.476865450631683396e-01 1.199086441518527474e-01
7.068583470577034511e-01 7.269497510567743959e-01 1.465641463260012323e-01
7.147123286916778895e-01 7.057090599231438111e-01 1.753988150344088781e-01
7.225663103256524389e-01 6.840117237832473718e-01 2.062348522883414581e-01
7.304202919596268773e-01 6.619055661045647465e-01 2.388824907553102617e-01
7.382742735936013156e-01 6.394394550265691812e-01 2.731407085794276823e-01
7.461282552275758650e-01 6.166631930691733876e-01 3.087984788790059665e-01
7.539822368615504145e-01 5.936273171825360295e-01 3.456359569286880373e-01
7.618362184955248528e-01 5.703830056962148065e-01 3.834255380843230587e-01
7.696902001294992912e-01 5.469819852683160954e-01 4.219334466778283943e-01
7.775441817634737296e-01 5.234763331098363226e-01 4.609210268843990654e-01
7.853981633974482790e-01 4.999180945462906589e-01 5.001471029165039939e-01
7.932521450314228284e-01 4.763597251408034916e-01 5.393704740867495406e-01
8.011061266653972668e-01 4.528538072795700309e-01 5.783503181967364348e-01
8.089601082993717052e-01 4.294529237259705479e-01 6.168487568980467461e-01
8.168140899333461435e-01 4.062095576897154503e-01 6.546289252273109760e-01
8.246680715673206929e-01 3.831759928959881378e-01 6.914564633925927017e-01
8.325220532012952424e-01 3.604033037831291253e-01 7.271040407217576051e-01
8.403760348352696807e-01 3.379412126937925698e-01 7.613512021277735187e-01
8.482300164692441191e-01 3.158394820546480131e-01 7.939860707676766882e-01
8.560839981032185575e-01 2.941469998312549738e-01 8.248065183917161480e-01
8.639379797371931069e-01 2.729116530749586267e-01 8.536213694420354825e-01
8.717919613711676563e-01 2.521802047736572128e-01 8.802519455864884490e-01
8.796459430051420947e-01 2.319982090557331511e-01 9.045350876050252120e-01
8.874999246391165331e-01 2.124109825319571709e-01 9.263235399047724528e-01
8.953539062730909714e-01 1.934624120002712000e-01 9.454874387128756608e-01
9.032078879070654098e-01 1.751946234333064123e-01 9.619143423334389764e-01
9.110618695410400703e-01 1.576482254238240066e-01 9.754983829244278093e-01
9.189158511750145086e-01 1.408622041321040130e-01 9.861512216756583848e-01
9.267698328089889470e-01 1.248738182333311714e-01 9.938016732631973493e-01
9.346238144429633854e-01 1.097185575555024439e-01 9.984055041407344788e-01
