t fidelity1 fidelity2
9.424777960769379348e+00 1.057393688827203831e-02 1.057393688827203831e-02
9.522952731194060050e+00 2.304045506700725873e-02 2.304045506700725873e-02
9.621127501618740752e+00 5.374000331587870660e-02 5.374000331587870660e-02
9.719302272043423230e+00 1.013812795202660988e-01 1.013812795202660988e-01
9.817477042468103932e+00 1.640379540465009556e-01 1.640379540465009556e-01
9.915651812892784633e+00 2.392301221348312468e-01 2.392301221348312468e-01
1.001382658331746534e+01 3.240252073708794756e-01 3.240252073708794756e-01
1.011200135374214604e+01 4.151539997952774508e-01 4.151539997952774508e-01
1.021017612416682852e+01 5.091371078340739542e-01 5.091371078340739542e-01
1.030835089459150922e+01 6.024169009686710652e-01 6.024169009686710652e-01
1.040652566501618992e+01 6.914900119864062500e-01 6.914900119864062500e-01
1.050470043544087062e+01 7.730356379732016281e-01 7.730356379732016281e-01
1.060287520586555132e+01 8.440352061822200547e-01 8.440352061822200547e-01
1.070104997629023202e+01 9.018794288928256853e-01 9.018794288928256853e-01
1.079922474671491450e+01 9.444593328540907828e-01 9.444593328540907828e-01
1.089739951713959520e+01 9.702384863587553143e-01 9.702384863587553143e-01
1.099557428756427591e+01 9.783043343924630042e-01 9.783043343924630042e-01
1.109374905798895661e+01 9.683972662299011880e-01 9.683972662299011880e-01
1.119192382841363731e+01 9.409167601268005887e-01 9.409167601268005887e-01
1.129009859883831979e+01 8.969046596163475771e-01 8.969046596163475771e-01
1.138827336926300049e+01 8.380063217482958127e-01 8.380063217482958127e-01
1.148644813968768119e+01 7.664110283633686072e-01 7.664110283633686072e-01
1.158462291011236189e+01 6.847736578856599143e-01 6.847736578856599143e-01
1.168279768053704260e+01 5.961201687125619042e-01 5.961201687125619042e-01
1.178097245096172330e+01 5.037399376675711915e-01 5.037399376675711915e-01
1.187914722138640577e+01 4.110684190767790458e-01 4.110684190767790458e-01
1.197732199181108648e+01 3.215639316996975472e-01 3.215639316996975472e-01
1.207549676223576718e+01 2.385826307532311896e-01 2.385826307532311896e-01
1.217367153266044788e+01 1.652558686172506675e-01 1.652558686172506675e-01
1.227184630308512858e+01 1.043741784327840011e-01 1.043741784327840011e-01
1.237002107350981106e+01 5.828201862581106757e-02 5.828201862581106757e-02
1.246819584393449176e+01 2.878718450350735772e-02 2.878718450350735772e-02
1.256637061435917246e+01 1.708842018373731009e-02 1.708842018373731009e-02
1.266454538478385317e+01 2.372424981027125915e-02 2.372424981027125915e-02
1.276272015520853387e+01 4.854539692394246875e-02 4.854539692394246875e-02
1.286089492563321635e+01 9.071238756588545504e-02 9.071238756588545504e-02
1.295906969605789705e+01 1.487190561007300793e-01 1.487190561007300793e-01
1.305724446648257775e+01 2.204417200764036688e-01 2.204417200764036688e-01
