gt pop_n1 pop_n2 pop_mixed
9.581857593448869226e-01 6.693831093620903339e-01 6.693966184654032148e-01 6.693770608498097463e-01
9.738937226128359104e-01 6.840765342353616330e-01 6.840892244406826528e-01 6.840703321698093919e-01
9.896016858807848982e-01 6.985881991926292667e-01 6.986016075098081535e-01 6.985814656625304320e-01
1.005309649148733886e+00 7.129036130633729096e-01 7.129166776013191598e-01 7.128979500872208996e-01
1.021017612416682763e+00 7.270093648913966700e-01 7.270240667133200940e-01 7.270029350723798967e-01
1.036725575684631639e+00 7.408910737306371175e-01 7.409038510762416818e-01 7.408856219370969498e-01
1.052433538952580738e+00 7.545348706535017769e-01 7.545467590988917950e-01 7.545292926254822952e-01
1.068141502220529615e+00 7.679278794331191316e-01 7.679395882788209171e-01 7.679217031184165654e-01
1.083849465488478492e+00 7.810561995249644118e-01 7.810687549024419862e-01 7.810502523123090679e-01
1.099557428756427591e+00 7.939069912118824623e-01 7.939188474181452237e-01 7.939008101824183150e-01
1.115265392024376467e+00 8.064677483612071596e-01 8.064804830508671696e-01 8.064610970677792423e-01
1.130973355292325566e+00 8.187260707679401284e-01 8.187389074375530651e-01 8.187199809259928518e-01
1.146681318560274443e+00 8.306696326331641789e-01 8.306814140518543610e-01 8.306638175703805471e-01
1.162389281828223320e+00 8.422870809482119192e-01 8.422989879387892120e-01 8.422809177214112264e-01
1.178097245096172418e+00 8.535668944885592690e-01 8.535785620916449545e-01 8.535601284214581197e-01
1.193805208364121295e+00 8.644975419396774274e-01 8.645079996200706329e-01 8.644912311751965506e-01
1.209513171632070394e+00 8.750686740315052337e-01 8.750790654053781648e-01 8.750623145335700848e-01
1.225221134900019271e+00 8.852695724190940973e-01 8.852801815066673186e-01 8.852632207486743621e-01
1.240929098167968148e+00 8.950900708165586694e-01 8.951008070857116028e-01 8.950841836581686639e-01
1.256637061435917246e+00 9.045206583765580399e-01 9.045310253356657615e-01 9.045150002172179793e-01
1.272345024703866123e+00 9.135520723590284664e-01 9.135619530182937931e-01 9.135463415708723334e-01
1.288052987971815222e+00 9.221752728179067882e-01 9.221847925141575253e-01 9.221697405162039285e-01
1.303760951239764099e+00 9.303818624822592920e-01 9.303910964397920091e-01 9.303765918193614981e-01
1.319468914507712975e+00 9.381638900397563097e-01 9.381725091658814630e-01 9.381591115025180727e-01
1.335176877775662074e+00 9.455133381647892188e-01 9.455214712821919942e-01 9.455087041779411949e-01
1.350884841043610951e+00 9.524231481987182057e-01 9.524309770998280467e-01 9.524185512934395526e-01
1.366592804311560050e+00 9.588864722792088680e-01 9.588939167609383807e-01 9.588820451009074652e-01
1.382300767579508927e+00 9.648968009919934863e-01 9.649039410168303021e-01 9.648926771371548750e-01
1.398008730847457803e+00 9.704483144198180478e-01 9.704551247837256422e-01 9.704444871430190078e-01
1.413716694115406902e+00 9.755355678673137687e-01 9.755415936289510981e-01 9.755319903557060357e-01
1.429424657383355779e+00 9.801535222788088086e-01 9.801590818654888349e-01 9.801501502009553057e-01
1.445132620651304878e+00 9.842975763449720583e-01 9.843027047473037472e-01 9.842945888962220113e-01
1.460840583919253755e+00 9.879637621493555510e-01 9.879683048144018986e-01 9.879610740818814962e-01
1.476548547187202631e+00 9.911483180735547460e-01 9.911521131664891016e-01 9.911459236639164061e-01
1.492256510455151730e+00 9.938481027584612493e-01 9.938513148276360010e-01 9.938461202008981310e-01
1.507964473723100829e+00 9.960605168774063767e-01 9.960631124512575596e-01 9.960589188045400055e-01
1.523672436991049706e+00 9.977833756003042787e-01 9.977853207658476942e-01 9.977821681803115128e-01
1.539380400258998582e+00 9.990149678872578543e-01 9.990162735706764607e-01 9.990141627308308792e-01
1.555088363526947459e+00 9.997540862854824573e-01 9.997547381789999577e-01 9.997536819079995141e-01
1.570796326794896558e+00 9.999999990515627823e-01 9.999999975872108093e-01 9.999999994255011071e-01
1.586504290062845657e+00 9.997524670278632453e-01 9.997518111586932710e-01 9.997528685730965314e-01
1.602212253330794534e+00 9.990117385202617051e-01 9.990104241307767863e-01 9.990125281037647298e-01
1.617920216598743410e+00 9.977785364293750847e-01 9.977765677668514188e-01 9.977797278450526441e-01
1.633628179866692287e+00 9.960540729257342241e-01 9.960514595486535949e-01 9.960556776236164644e-01
1.649336143134641386e+00 9.938400635782268511e-01 9.938367578369944333e-01 9.938420547115816017e-01
1.665044106402590485e+00 9.911386722699456753e-01 9.911347296607538881e-01 9.911411175029408716e-01
1.680752069670539361e+00 9.879525930555326241e-01 9.879479281377472333e-01 9.879554407886572687e-01
1.696460032938488238e+00 9.842849336143332240e-01 9.842795019895941300e-01 9.842881212514413836e-01
1.712167996206437115e+00 9.801393875676996936e-01 9.801330860643414633e-01 9.801428779029733862e-01
1.727875959474386214e+00 9.755199786691539643e-01 9.755127450680977086e-01 9.755239341618993087e-01
1.743583922742335313e+00 9.704312606472946801e-01 9.704230831507335564e-01 9.704356727275862404e-01
1.759291886010284189e+00 9.648782605440351379e-01 9.648692084591498075e-01 9.648831029528048830e-01
1.774999849278233066e+00 9.588664427740212215e-01 9.588564089953111047e-01 9.588717702051359204e-01
1.790707812546181943e+00 9.524017823055715981e-01 9.523910462221633066e-01 9.524074394979583635e-01
1.806415775814130820e+00 9.454906458653073997e-01 9.454789228755986485e-01 9.454965367509229335e-01
1.822123739082080141e+00 9.381398462087269241e-01 9.381271925652885368e-01 9.381462551828356755e-01
1.837831702350029017e+00 9.303566333594180948e-01 9.303432293169670020e-01 9.303631540290621116e-01
1.853539665617977894e+00 9.221486892803887336e-01 9.221341197519803412e-01 9.221559018506009231e-01
1.869247628885926771e+00 9.135241314045891015e-01 9.135092640099595762e-01 9.135316063226123218e-01
1.884955592153875648e+00 9.044914806709294375e-01 9.044759234469784692e-01 9.044995173598326943e-01
1.900663555421824968e+00 8.950596314642577100e-01 8.950429146417384629e-01 8.950680593646426209e-01
1.916371518689773845e+00 8.852378834848495526e-01 8.852200190784201839e-01 8.852464628202254548e-01
1.932079481957722500e+00 8.750359291919678206e-01 8.750168751225698704e-01 8.750450469462297542e-01
1.947787445225671821e+00 8.644638466141898459e-01 8.644428701832265194e-01 8.644738598869665669e-01
1.963495408493620697e+00 8.535320978859777252e-01 8.535098346562788318e-01 8.535424450370014959e-01
1.979203371761569796e+00 8.422514497246372800e-01 8.422287732109950964e-01 8.422620736216623882e-01
1.994911335029518673e+00 8.306330198396149056e-01 8.306083985423398097e-01 8.306436479124391647e-01
2.010619298297467772e+00 8.186882707826037553e-01 8.186623136739987761e-01 8.186999532291960868e-01
