t fidelity1
9.346238144429633854e-01 5.540517584051072308e-01
9.424777960769378238e-01 5.476726862295396847e-01
9.503317777109124842e-01 5.402037012639314684e-01
9.581857593448869226e-01 5.316634761136777021e-01
9.660397409788612499e-01 5.220790910765844561e-01
9.738937226128359104e-01 5.114860827116252118e-01
9.817477042468103487e-01 4.999294072696208180e-01
9.896016858807848982e-01 4.874620634477545011e-01
9.974556675147593365e-01 4.741447402526226540e-01
1.005309649148733886e+00 4.600443738317078202e-01
1.013163630782708324e+00 4.452348007294597010e-01
1.021017612416682763e+00 4.297964395532789528e-01
1.028871594050657201e+00 4.138164140104833022e-01
1.036725575684631639e+00 3.973872868331909669e-01
1.044579557318606300e+00 3.806066872265989609e-01
1.052433538952580738e+00 3.635767531861226476e-01
1.060287520586555177e+00 3.464036032375467644e-01
1.068141502220529615e+00 3.291950880909569332e-01
1.075995483854504053e+00 3.120601091969177898e-01
1.083849465488478492e+00 2.951083079253871144e-01
1.091703447122453152e+00 2.784548411394394130e-01
1.099557428756427591e+00 2.622172366968553714e-01
1.107411410390402029e+00 2.465137039864796209e-01
1.115265392024376467e+00 2.314538618365005185e-01
1.123119373658351128e+00 2.171438640167179523e-01
1.130973355292325566e+00 2.036869335819935789e-01
1.138827336926300005e+00 1.911905321543673486e-01
1.146681318560274443e+00 1.797580924589315121e-01
1.154535300194248881e+00 1.694871890370673317e-01
1.162389281828223320e+00 1.604661019988654347e-01
1.170243263462197980e+00 1.527774220351656997e-01
1.178097245096172418e+00 1.464987976462109875e-01
1.185951226730146857e+00 1.417020142425957085e-01
1.193805208364121295e+00 1.384510741685435753e-01
1.201659189998095956e+00 1.368010199890934697e-01
1.209513171632070394e+00 1.367981580290290045e-01
1.217367153266044832e+00 1.384798429001808107e-01
1.225221134900019271e+00 1.418749179515323977e-01
1.233075116533993709e+00 1.470027501896373212e-01
1.240929098167968148e+00 1.538730866767279992e-01
1.248783079801942808e+00 1.624857479901861967e-01
1.256637061435917246e+00 1.728307320089206289e-01
1.264491043069891685e+00 1.848881119479716950e-01
1.272345024703866123e+00 1.986280458086781275e-01
1.280199006337840784e+00 2.140107839709035342e-01
1.288052987971815222e+00 2.309870201106332954e-01
1.295906969605789660e+00 2.494981626600059066e-01
1.303760951239764099e+00 2.694764778928711579e-01
1.311614932873738537e+00 2.908451057544221285e-01
1.319468914507712975e+00 3.135184904209233903e-01
1.327322896141687636e+00 3.374029189587628985e-01
1.335176877775662074e+00 3.623977463214546613e-01
1.343030859409636513e+00 3.883956382212002123e-01
1.350884841043610951e+00 4.152829495408553173e-01
1.358738822677585611e+00 4.429386643707527993e-01
1.366592804311560050e+00 4.712361344911821792e-01
